country_code,found_country,longitude,latitude,address,country_name,alt_addr,continent,timestamp,used,no_result
US,True,-74.2630469,40.4244292,"Hampton Court, Middlesex",United States,,North America,,0,
GB,True,-0.0766986,51.5098481,Tower Hill,United Kingdom,,Europe,,0,
GB,True,-0.1277653,51.5074456,London,United Kingdom,,Europe,,0,
GB,True,-2.0149439,53.96406,Skipton Castle,United Kingdom,,Europe,,0,
GB,True,-0.1277653,51.5074456,"St James's Garlickhithe, London",United Kingdom,,Europe,,0,
GB,True,-0.0294325,51.517578,"Derby House, St Paul's Wharf, London",United Kingdom,,Europe,,0,
GB,True,-0.4625248,51.5256362,"Colham Green, Middlesex",United Kingdom,,Europe,,0,
GB,True,-0.2537791,51.5460558,"Syon Monastery, Middlesex",United Kingdom,,Europe,,0,
GB,True,-2.8013191,54.0357403,Lathom House,United Kingdom,,Europe,,0,
GB,True,-2.8859603,53.5673603,Ormskirk,United Kingdom,,Europe,,0,
GB,True,-0.1265398,51.5004439,"Probably at Dorset House, Westminster",United Kingdom,,Europe,,0,
GB,True,1.5102568,52.268596,"Cockfield Hall, Yoxford, Suffolk",United Kingdom,,Europe,,0,
GB,True,1.5096724,52.2651979,Yoxford,United Kingdom,,Europe,,0,
GB,True,-1.348719,50.8760682,Netley,United Kingdom,,Europe,,0,
GB,True,-1.7972913,51.0649545,Salisbury Cathedral,United Kingdom,,Europe,,0,
GB,True,-3.6006234,55.977167,Linlithgow,United Kingdom,,Europe,,0,
GB,True,-3.9360012,56.1181242,Stirling,United Kingdom,,Europe,,0,
GB,True,-3.9480016,56.1240308,Stirling Castle,United Kingdom,,Europe,,0,
GB,True,-3.9201681,56.1251594,Cambuskenneth,United Kingdom,,Europe,,0,
GB,True,-2.105274,55.335596,Harbottle,United Kingdom,,Europe,,0,
GB,True,-0.0493621,51.5432402,Hackney,United Kingdom,,Europe,,0,
GB,True,-3.1883749,55.9533456,Edinburgh,United Kingdom,,Europe,,0,
US,True,-98.4111777,38.5869549,Holyrood,United States,,North America,,0,
GB,True,-3.2004175,55.9486867,Edinburgh Castle,United Kingdom,,Europe,,0,
GB,True,-2.7955844,56.3403902,St Andrews,United Kingdom,,Europe,,0,
GB,True,-3.2079837,56.2530979,Falkland,United Kingdom,,Europe,,0,
GB,True,-0.865913,52.3106138,"Fotheringay Castle, Northamptonshire",United Kingdom,,Europe,,0,
GB,True,-0.2394889,52.5724812,Peterborough Cathedral,United Kingdom,,Europe,,0,
CH,True,6.1466014,46.2017559,Geneva,Switzerland,,Europe,,0,
GB,True,-0.117442,51.5116948,"Somerset House, London",United Kingdom,,Europe,,0,
GB,True,0.0485919,51.4470989,Greenwich Palace,United Kingdom,,Europe,,0,
GB,True,-0.2031209,53.1823034,"Lincolnshire, England",England,,Europe,,0,
GB,True,-0.1277653,51.5074456,"St. Catherine's Hospital by the Tower, London, England",England,,Europe,,0,
GB,True,1.3134228,51.1251275,"Dover, Kent, England",England,,Europe,,0,
GB,True,-2.5650945,53.8611712,"Upholland Castle, Lancashire, England",England,,Europe,,0,
GB,True,1.0802533,51.2800275,"Canterbury, Kent, England",England,,Europe,,0,
GB,True,-0.0544564,51.4879512,"Bermondsey, Surrey, England",England,,Europe,,0,
US,True,-72.6046997,40.895274,"St Bavo's Abbey, Ghent, County of Flanders",United States,,North America,,0,
GB,True,-1.0317702,52.6078167,"Leicester, Leicestershire, England",England,,Europe,,0,
GB,True,-0.0984506,51.5137872,"St Paul's Cathedral, London, England",England,,Europe,,0,
BE,True,4.125217,50.36192,"Hainaut, Belgium",Belgium,,Europe,,0,
GB,True,-0.5404819,53.2293545,"Lincoln, Lincolnshire, England",England,,Europe,,0,
GB,True,-0.5362358,53.2342885,"Lincoln Cathedral, Lincoln, Lincolnshire, England",England,,Europe,,0,
GB,True,-2.805289,54.0498995,"Lancaster Castle, Lancashire, England",England,,Europe,,0,
FR,True,1.8883335,46.603354,"Siege of Rouen, France",France,,Europe,,0,
FR,True,1.0961695,49.4381934,"Rouen, , Haute-Normandie, France",France,,Europe,,0,
FR,True,1.1510164,49.0268903,"Louviers-Nord, Évreux, Eure, France",France,,Europe,,0,
GB,True,1.0957464,51.2872562,"Canterbury Cathedral Canterbury, City of Canterbury, Kent, England",England,,Europe,,0,
GB,True,-0.2537791,51.5460558,"St James' Church, Westminster, Middlesex, England, United Kingdom",United Kingdom,,Europe,,0,
GB,True,-0.3379675,51.753051,"St Albans, Hertfordshire, England",England,,Europe,,0,
GB,True,-2.5171705,56.0057538,"Dunbar Castle, Dunbar, Scotland",Scotland,,Europe,,0,
GB,True,-0.0978552,51.8400523,"Hertfordshire, England",England,,Europe,,0,
GB,True,-3.9360012,56.1181242,"Stirling, Stirlingshire, Scotland, United Kingdom",United Kingdom,,Europe,,0,
GB,True,-3.064762,50.7466701,"Colcombe Castle, Colyton, Devonshire, England",England,,Europe,,0,
GB,True,-3.0701242,50.7405628,"Colyton, East Devon District, Devon, England",England,,Europe,,0,
GB,True,-3.0753867,51.1617509,"Somerset, England",England,,Europe,,0,
GB,True,-1.5220377,51.5395968,"Faringdon, Berkshire, England",England,,Europe,,0,
GB,True,-2.418752,52.8643698,"Cheswardine, Shropshire, England, United Kingdom",United Kingdom,,Europe,,0,
GB,True,-0.779731,51.5576946,"Bisham, Berkshire, England",England,,Europe,,0,
GB,True,-0.779731,51.5576946,"Bisham, Berkshire, England, United Kingdom",United Kingdom,,Europe,,0,
GB,True,-0.4111138,52.0640034,"Bedfordshire, England",England,,Europe,,0,
GB,True,-0.4111138,52.0640034,"Bletsoe Castle, Bledsoe, Bedfordshire, England",England,,Europe,,0,
GB,True,-1.8945228,51.5519497,"Of, Lydiard Tregoze, Wiltshire, England",England,,Europe,,0,
ES,True,-2.2037955,43.1445278,"Feuntarribia, Guipúzcoa, País Vasco, Spain",Spain,,Europe,,0,
GB,True,-1.0214971,53.1459288,"East Stoke, Newark and Sherwood District, Nottinghamshire, England",England,,Europe,,0,
GB,True,-1.2684599,53.8492612,"Towton, Yorkshire, England",England,,Europe,,0,
GB,True,-1.4098508,53.7355806,"Methley, Yorkshire, England",England,,Europe,,0,
GB,True,-5.8618419,56.4603494,"Innermeath, Argyll, Scotland",Scotland,,Europe,,0,
GB,True,-5.8285351,57.0067108,"At Sea, Scotland",Scotland,,Europe,,0,
GB,True,-3.1283484,57.4449043,"Dufftown, Banffshire, Scotland",Scotland,,Europe,,0,
GB,True,-3.3391095,56.7661548,"Laighwood Castle, Perth, Perthshire, Scotland",Scotland,,Europe,,0,
GB,True,-3.3391095,56.7661548,"Dunkeld Cathedral, Dunkeld, Perthshire, Scotland",Scotland,,Europe,,0,
GB,True,-5.2513764,56.2517333,"Lorne, Argyllshire, Scotland",Scotland,,Europe,,0,
GB,True,-2.8905628,56.7151414,"Auchterhouse, Forfarshire, Scotland",Scotland,,Europe,,0,
GB,True,-3.3391095,56.7661548,"Dunkeld, Perthshire, Scotland",Scotland,,Europe,,0,
GB,True,-4.0,55.0,"Lincluden, Kirkcudbrightshire, Scotland",Scotland,,Europe,,0,
,True,,,Elgin Cathedral Churchyard Moray Scotland,,,,1767560186.5911162,0,True
GB,True,-3.4616183,56.0713724,"Dunfermline, Fife, Scotland",Scotland,,Europe,,0,
GB,True,-3.9360012,56.1181242,"Stirling, Stirlingshire, Scotland",Scotland,,Europe,,0,
GB,True,-3.3391095,56.7661548,"Perth, Perthshire, Scotland",Scotland,,Europe,,0,
GB,True,-3.3391095,56.7661548,"Perth Abbey, Perthshire, Scotland",Scotland,,Europe,,0,
FR,True,4.3628851,48.9566218,"Châlons-en-Champagne, Marne, Champagne-Ardenne, France",France,,Europe,,0,
FR,True,-0.0841384,46.1066822,"Saint-Laon church Thouars, Departement des Deux-Sèvres, Poitou-Charentes, France",France,,Europe,,0,
FR,True,0.3180556,45.4225,"Champagne-et-Fontaine, Dordogne, Aquitaine, France",France,,Europe,,0,
FR,True,-2.7599079,47.6586772,"Vannes, Morbihan, Brittany, France",France,,Europe,,0,
AT,True,11.3971372,47.2695153,"Innsbruck, Innsbruck-Stadt, Tyrol, Austria",Austria,,Europe,,0,
AT,True,10.9802836,47.2765181,"Stams, Imst Bezirk, Tirol, Austria",Austria,,Europe,,0,
GB,True,-3.0722291,55.8945245,"Dalkeith Church, Midlothian, Scotland",Scotland,,Europe,,0,
GB,True,-3.0700445,55.8943361,"Dalkeith, Midlothian, Scotland",Scotland,,Europe,,0,
NL,True,3.6660882,51.5475163,"Kastel Sandenburch, Veere, Veere, Zeeland, Netherlands",Netherlands,,Europe,,0,
NL,True,3.5772694,51.5564039,"Veere, Zeeland, Nederland",Netherlands,,Europe,,0,
GB,True,-3.083333,55.833333,"Holyrood, Midlothian, Scotland",Scotland,,Europe,,0,
GB,True,-3.0662449,55.7954464,"Edinburgh, Midlothian, Scotland",Scotland,,Europe,,0,
GB,True,-3.0662449,55.7954464,"Holyrood Palace, Edinburgh, Midlothian, Scotland",Scotland,,Europe,,0,
GB,True,-4.1140518,56.7861112,"Roxburgh Castle, Kelso, Roxburgshire, Scotland",Scotland,,Europe,,0,
GB,True,-3.1883749,55.9533456,"Abbey of Holyrood, Edinburgh, Scotland, United Kingdom",United Kingdom,,Europe,,0,
GB,True,-5.6615466,55.6517697,"Tayinloan, Argyll, Scotland",Scotland,,Europe,,0,
