found_country,country_name,used,longitude,continent,timestamp,country_code,latitude,address,alt_addr,no_result
True,Scotland,0,-7.166667,Europe,,GB,57.666667,"Island of Islay, Western Isles, Scotland",,
True,Scotland,0,-3.5,Europe,,GB,55.166667,"Dumfriesshire, Scotland",,
True,Wales,0,-4.9147512,Europe,,GB,51.7491395,"Llangwm, Wales",,
True,Wales,0,-3.9925144,Europe,,GB,51.8853935,"Dynefwr Castle, Llandeilo, Carmarthenshire, Wales",,
True,Wales,0,-3.3671284,Europe,,GB,53.1097895,"Llangwm, Denbighshire, Wales",,
True,Wales,0,-3.000007,Europe,,GB,51.6666717,"Gwent, Monmouthshire, Wales",,
True,Wales,0,-3.1676296,Europe,,GB,53.2640966,"Bagillt, Flintshire, Wales",,
True,Wales,0,-3.1673701,Europe,,GB,51.444046,"Dyfed, Wales",,
True,France,0,2.3738855,Europe,,FR,49.9689482,"Somme, Picardy, France",,
True,Wales,0,-3.1432322,Europe,,GB,53.2529037,"Coleshill, Flintshire, , Wales",,
True,Ireland,0,-7.9794599,Europe,,IE,52.865196,", , Ireland",,
True,Ireland,0,-6.9117199,Europe,,IE,53.1568465,"Kildare, Leinster, Ireland",,
True,Ireland,0,-8.5229823,Europe,,IE,51.705737,"Kinsale, Cork, Munster, Ireland",,
True,Wales,0,-4.6597826,Europe,,GB,52.0848419,"of Cardigan, Cardigan, Wales",,
True,England,0,-3.035703,Europe,,GB,52.7841649,"Maesbrook, Kinnerley, Shropshire, England",,
True,Wales,0,-3.166204,Europe,,GB,51.443132,"Clwyd, Wales",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"Montgomery, Montgomeryshire, Wales",,
True,Wales,0,-3.0348738,Europe,,GB,53.1669787,"1651600, Flintshire, , Wales",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"Arwystli, Montgomeryshire, , Wales",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"Carno, Montgomeryshire, , Wales",,
True,Wales,0,-3.3671284,Europe,,GB,53.1097895,"Maelor, Denbighshire, Wales",,
True,Wales,0,-3.3988831,Europe,,GB,51.4470646,"Meisgyn, Penychen, Glamorgan, Wales",,
True,Wales,0,-2.789728,Europe,,GB,51.8775609,"Skenfrith, Monmouthshire, Wales",,
True,Wales,0,-3.8845537,Europe,,GB,52.7416106,"of, , Gwynedd, Wales",,
True,United Kingdom,0,-3.4649973,Europe,,GB,52.6152731,"Llwydiarth, Montgomeryshire, Wales, United Kingdom",,
True,Wales,0,-4.0741732,Europe,,GB,53.0712302,"Snowdonia, Wales",,
True,Wales,0,-3.3905287,Europe,,GB,52.3313804,"Abbey-Cwmhir, Powys, Wales",,
True,England,0,-0.5331475,Europe,,GB,52.9839074,"of, , Mercia, England",,
True,England,0,-1.3373194,Europe,,GB,51.0201383,"Mercia, England",,
True,Wales,0,-4.0685073,Europe,,GB,52.4144637,"of, , , Wales",,
True,France,0,0.7181025,Europe,,FR,49.1948931,"Brionne, Eure, Normandie, France",,
True,United Kingdom,0,-2.8469682,Europe,,GB,53.7085379,"Hesketh Bank, Lancashire, England, United Kingdom",,
True,United Kingdom,0,-1.9485865,Europe,,GB,53.8311942,"Haworth, Yorkshire, England, United Kingdom",,
True,United Kingdom,0,-4.1140518,Europe,,GB,56.7861112,"Scotland, United Kingdom",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"Machynlleth, Montgomeryshire, Wales",,
True,Wales,0,-3.3988831,Europe,,GB,51.4470646,"Morgannwg Gwlad, Glamorgan, Wales",,
True,Wales,0,-3.1329638,Europe,,GB,53.1580195,"Llys Y Coed, Flintshire, Wales",,
True,Wales,0,-3.1345262,Europe,,GB,53.2492828,"Flint, Flintshire, Wales",,
True,Scotland,0,-3.1296944,Europe,,GB,58.9418231,"Gairnsay, Orkney Islands, Scotland",,
True,Scotland,0,-3.1296944,Europe,,GB,58.9418231,"Gairnsay, Orkney, Scotland",,
True,Scotland,0,-3.1296944,Europe,,GB,58.9418231,"Duncansby, Gairnsay, Orkney Islands, Scotland",,
True,Wales,0,-3.1650851,Europe,,GB,53.2661553,"Tegeingl, Flintshire, Wales",,
True,Wales,0,-3.1432322,Europe,,GB,53.2529037,"Northop, Coleshill, Flintshire, Wales",,
True,Wales,0,-3.8335244,Europe,,GB,52.9089585,"Gwynedd, Wales",,
True,United Kingdom,0,-4.1268822,Europe,,GB,53.2277163,"Bangor, Gwynedd, Wales, United Kingdom",,
True,Wales,0,-3.8436844,Europe,,GB,53.2905864,"Bangor Cathedral, Is Gwyrfai, CaernarvonShire, Wales",,
True,Wales,0,-3.73893,Europe,,GB,52.2928116,"(Slain), Battle Mechain, Montogmeryshire, Wales",,
True,Wales,0,-2.7160441,Europe,,GB,51.8098882,"Monmouth, Monmouthshire, Wales",,
True,Wales,0,-3.391696,Europe,,GB,51.9472048,"Brecon, Powys, Wales",,
True,Wales,0,-3.3132081,Europe,,GB,51.4613002,"Mid Wales, Wales",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"Welshpool, Montgomeryshire, Wales",,
True,Wales,0,-3.8430032,Europe,,GB,53.2907066,"Caernarfonshire, Wales",,
True,Wales,0,-4.1129886,Europe,,GB,53.2178275,"Anglesey, Gwynedd, Wales",,
True,England,0,-1.3373194,Europe,,GB,51.0201383,"Mercia, , , England",,
True,United Kingdom,0,-3.3553352,Europe,,GB,52.32715,"Powys, Wales, United Kingdom",,
True,France,0,-2.9202408,Europe,,FR,48.2640845,"Brittany, France",,
True,Wales,0,-3.8790712,Europe,,GB,52.1567725,"of Garth, Llanddewibrefi, Cardiganshire, Wales",,
True,Ireland,0,-7.3088311,Europe,,IE,52.6704619,"Ossory, Ireland",,
True,Wales,0,-3.8606376,Europe,,GB,51.8818433,"Gwynfe, Carmarthenshire, Wales",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"Llanfair, Montgomeryshire, Wales",,
True,Wales,0,-3.8749545,Europe,,GB,52.79398,"Merionethshire, Wales",,
True,Wales,0,-4.3303005,Europe,,GB,51.8444285,"Ystrad, Carmarthenshire, Wales",,
True,Ireland,0,-7.1573061,Europe,,IE,52.6565507,"Munster, Clara, Ireland",,
True,Ireland,0,-7.9794599,Europe,,IE,52.865196,"Leinster Province, Ireland",,
True,Ireland,0,-7.9794599,Europe,,IE,52.865196,", Duleck, , Ireland",,
True,England,0,-2.6435641,Europe,,GB,52.6523394,"Shropshire, England",,
True,Wales,0,-3.8430032,Europe,,GB,53.2907066,"Creuddyn, Caernarfonshire, Wales",,
True,United Kingdom,0,-3.3671284,Europe,,GB,53.1097895,"Denbighshire, Wales, United Kingdom",,
True,,1,-3.3317405,,,NONE,53.2710352,"of Denbighshire, N. Wales",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"of, Cyfeiliog, Montgomeryshire, Wales",,
True,United Kingdom,0,-3.952781,Europe,,GB,52.2945764,"Ceredigion, Wales, United Kingdom",,
True,United Kingdom,0,-4.3115907,Europe,,GB,51.8591257,"Caerfyrddin Priory, Carmarthen, Carmarthenshire, Wales, United Kingdom",,
True,Wales,0,-4.5255539,Europe,,GB,52.0447075,"Blaen Cuch, Cenarth, Carmarthenshire, Wales",,
True,England,0,-2.7151735,Europe,,GB,52.0553813,"Hereford, Herefordshire, England",,
True,England,0,-2.7421913,Europe,,GB,52.3260631,"Richards Castle, Herefordshire, England",,
True,England,0,-2.7193114,Europe,,GB,52.3679896,"Ludlow, Shropshire, England",,
True,,1,-1.2649062,,,NONE,52.5310214,"England, UK",,
True,Wales,0,-3.1554135,Europe,,GB,52.7745894,"Mechain, Powys, Wales",,
True,Wales,0,-3.73893,Europe,,GB,52.2928116,"Slain, , , Wales",,
True,Wales,0,-3.73893,Europe,,GB,52.2928116,", , Wales",,
True,Italy,0,10.6702416,Europe,,IT,43.8109228,"Ascoli Piceno, Marche (Regione), Italy",,
True,Wales,0,-4.3319194,Europe,,GB,53.2782258,"of , Anglesey, Wales",,
True,Wales,0,-4.5758425,Europe,,GB,53.2787998,"Llifon, Anglesey, Wales",,
True,Wales,0,-4.5036355,Europe,,GB,53.2942327,"Bodedern, Anglesey, Wales",,
True,Wales,0,-3.1402189,Europe,,GB,53.2165096,"Tegeingl ctf, Flintshire, Wales",,
True,Wales,0,-3.8749545,Europe,,GB,52.79398,"Nannau Hall, Merionethshire, Wales",,
True,United Kingdom,0,-3.008586,Europe,,GB,52.2747215,"Llanbister, Radnorshire, Wales, United Kingdom",,
True,Wales,0,-3.008586,Europe,,GB,52.2747215,"Penherniw, Llanbister, Radnorshire, Wales",,
True,Wales,0,-3.3854408,Europe,,GB,51.9489737,"Breconshire, Wales",,
True,United Kingdom,0,-3.3854408,Europe,,GB,51.9489737,"Breconshire, Wales, United Kingdom",,
True,United Kingdom,0,-3.1520621,Europe,,GB,52.2407038,"Radnor, Wales, United Kingdom",,
True,Wales,0,-3.73893,Europe,,GB,52.2928116,"Dyffryn Clwyd, Perfeddwlad, Wales",,
